avg revist time global,avg revisit time tropics,avg revisit time northern hemi,avg revisit time southern hemi,avg revisit time cold,avg revisit time US,cost
2.5802,2.6134,17.476,17.562,8.5976,3.0994,1.05e+08
3.8303,4.5759,2.8924,2.8957,8.5976,3.1144,1.05e+08
3.9794,5.1123,3.4953,3.5123,1.7195,3.8545,1.05e+08
1.254,1.2709,17.476,17.562,8.5976,1.5053,1.1e+08
1.8875,2.266,1.4126,1.4125,8.5976,1.5291,1.1e+08
1.9675,2.5399,1.7265,1.7265,0.82435,1.9127,1.1e+08
1.4612,1.8147,1.3099,1.3099,0.59392,1.45,1.3e+08
0.76612,0.96008,0.68318,0.68323,0.29023,0.75867,1.55e+08
0.69958,0.87405,0.62038,0.62038,0.2794,0.68732,2.6e+08
0.34945,0.44505,0.30599,0.30603,0.1194,0.34254,3.1e+08
0.21134,0.27303,0.18008,0.18009,0.068455,0.2045,4.65e+08
0.20558,0.24427,0.18051,0.18051,0.13457,0.1865,7.8e+08
0.079255,0.10088,0.064368,0.064368,0.039485,0.069706,9.3e+08
