obj1,obj2,obj3,obj4,obj5,obj6
1.6738e+06,11321,11397,1.599e+34,63.747,88.085
1.8636e+06,949.05,51119,1.6332e+21,7.1546,40.536
3.6717e+06,3369.8,66991,1.1277e+16,6.3267,50.547
31260,11585,22681,5.345e+47,54.456,95.924
2.2219e+06,11343,10391,8.2951e+32,52.543,77.125
1.6539e+07,2632.7,5795.6,1.4119e+21,39.391,48.054
32379,8850.3,36773,9.7707e+48,51.367,92.182
24028,17817,30193,4.0087e+28,76.411,99.314
2.2948e+07,2590.5,17615,3.6587e+08,5.13,56.037
9.8193e+05,3561.6,1.003e+05,3.7137e+13,21.326,64.697
8.6172e+06,6382.4,16633,3.2602e+30,23.883,71.352
50118,6279,47207,3.7706e+48,47.362,86.169
1.4482e+07,3086.8,4507.6,4.0771e+28,41.637,67.02
38911,8618.5,37535,1.1317e+49,51.895,92.386
2.607e+06,3936.3,93520,2.5749e+13,19.331,62.085
1.3634e+05,16567,31325,1.0333e+26,83.799,98.94
2.1987e+06,1726.6,37256,2.2215e+37,27.069,48.316
1.1843e+06,11891,24626,3.0796e+30,65.114,81.419
36118,8325.5,39106,1.6042e+49,51.499,92.192
3.8591e+07,208.67,34734,1.1035e+05,42.063,13.361
2.304e+07,1927.8,18484,10.909,30.423,53.025
2.3365e+06,10677,7185.3,3.3254e+33,63.146,88.635
1.0909e+07,5382,3273.7,1.9327e+27,34.56,56.454
5.6867e+06,4855.8,82915,3.4897e+12,16.898,69.859
1.6916e+06,1485.9,60130,2.0016e+14,11.001,49.859
5.2196e+07,587.53,54368,1157.8,46.419,28.824
6.6081e+05,4279.1,1.0613e+05,4.69e+13,21.672,69.128
2.1021e+05,15472,31662,4.229e+26,81.765,92.789
4.3937e+07,704.3,47877,2707.8,46.984,23.85
9.5447e+05,12016,19359,1.269e+37,68.326,94.258
4.8586e+05,12662,20408,6.2869e+38,63.005,95.077
1.5064e+07,5455.8,63099,2.2902e+12,9.2619,65.14
1.1758e+07,565.12,25965,1.6321e+19,31.239,39.63
1.2329e+07,3809.9,55719,1.7267e+13,9.1323,57.701
34109,8256.7,39299,1.536e+49,51.369,91.971
