mass,reliability (number 9's)
7.6667,2.6023
9.6667,2.7214
12.333,2.999
14.333,3.3955
15.333,5.2046
17,5.3236
18.667,5.4881
21.667,5.9966
20,5.6013
31.333,8.3588
24.667,7.926
23,7.807
26.333,8.0904
28,8.3584
29.667,8.3586
33,8.359
35.667,8.4635
34,8.4634
38.667,8.6985
40.333,8.6988
37,8.6983
41.333,8.7895
44.667,8.9729
43,8.9729
46.333,8.973
48.667,9.2607
47,9.1376
50.333,9.4331
53.667,9.7234
55.333,9.7235
52,9.7233
57,9.7235
66,9.8039
68.667,9.8761
67,9.8761
70.333,9.8761
72,9.8761
